sno,total_0_30,total_30_60,total_60_plus,rent_0_30,rent_30_60,rent_60_plus,return_0_30,return_30_60,return_60_plus
500101207,0,1,0,1,0,0,1,0,0
500101208,1,0,0,1,0,0,1,0,0
500101209,0,1,0,1,0,0,0,1,0
500101210,0,1,0,1,0,0,0,1,0
500101211,1,0,0,1,0,0,1,0,0
500101212,1,0,0,1,0,0,1,0,0
500101213,1,0,0,1,0,0,1,0,0
500101214,1,0,0,1,0,0,1,0,0
500101215,1,0,0,1,0,0,1,0,0
500101216,1,0,0,1,0,0,1,0,0
500101217,1,0,0,1,0,0,1,0,0
500101218,1,0,0,1,0,0,1,0,0
500101219,1,0,0,1,0,0,1,0,0
500101221,1,0,0,1,0,0,1,0,0
500101222,1,0,0,1,0,0,1,0,0
500101223,1,0,0,1,0,0,1,0,0
500101224,1,0,0,1,0,0,1,0,0
500101225,1,0,0,1,0,0,1,0,0
500101226,1,0,0,1,0,0,1,0,0
500101227,1,0,0,1,0,0,1,0,0
500101228,1,0,0,1,0,0,1,0,0
500101229,1,0,0,1,0,0,1,0,0
500101230,1,0,0,1,0,0,1,0,0
500101231,1,0,0,1,0,0,1,0,0
500101232,1,0,0,1,0,0,1,0,0
500101233,0,1,0,1,0,0,0,1,0
500101234,1,0,0,1,0,0,1,0,0
500101235,1,0,0,1,0,0,1,0,0
500101236,1,0,0,1,0,0,1,0,0
500101237,1,0,0,1,0,0,1,0,0
500101238,1,0,0,1,0,0,1,0,0
500101239,1,0,0,1,0,0,1,0,0
500101240,0,1,0,1,0,0,1,0,0
500101241,1,0,0,1,0,0,1,0,0
500101242,1,0,0,1,0,0,1,0,0
500101243,1,0,0,1,0,0,1,0,0
500101244,1,0,0,1,0,0,1,0,0
500101245,1,0,0,1,0,0,1,0,0
500101246,1,0,0,1,0,0,1,0,0
500101247,1,0,0,1,0,0,1,0,0
500101248,1,0,0,1,0,0,1,0,0
500101250,0,1,0,1,0,0,1,0,0
500101251,1,0,0,1,0,0,1,0,0
500101252,1,0,0,1,0,0,1,0,0
500101253,1,0,0,1,0,0,1,0,0
500101254,0,1,0,1,0,0,1,0,0
500101256,1,0,0,1,0,0,1,0,0
500101257,1,0,0,1,0,0,1,0,0
500101258,1,0,0,1,0,0,1,0,0
500101259,1,0,0,1,0,0,1,0,0
500103001,0,1,0,1,0,0,1,0,0
500103002,0,1,0,0,1,0,1,0,0
500103003,1,0,0,1,0,0,1,0,0
500103004,0,1,0,1,0,0,1,0,0
500103005,0,1,0,1,0,0,1,0,0
500103006,1,0,0,1,0,0,1,0,0
500103007,1,0,0,1,0,0,1,0,0
500103008,0,1,0,0,1,0,1,0,0
500103009,0,0,1,0,1,0,0,1,0
500103010,0,1,0,0,1,0,1,0,0
500103011,0,0,1,1,0,0,0,0,1
500103012,1,0,0,1,0,0,1,0,0
500103013,1,0,0,1,0,0,1,0,0
500103019,1,0,0,1,0,0,1,0,0
500103020,0,1,0,0,1,0,1,0,0
500103021,0,1,0,1,0,0,1,0,0
500103022,1,0,0,1,0,0,1,0,0
500103023,0,1,0,1,0,0,1,0,0
500103024,0,1,0,0,1,0,1,0,0
500103025,0,1,0,1,0,0,1,0,0
500103026,1,0,0,1,0,0,1,0,0
500103027,0,1,0,1,0,0,0,1,0
500103028,0,0,1,0,1,0,0,1,0
500103029,1,0,0,1,0,0,1,0,0
500103030,0,1,0,1,0,0,0,1,0
500103031,1,0,0,1,0,0,1,0,0
500103032,1,0,0,1,0,0,1,0,0
500103033,1,0,0,1,0,0,1,0,0
500103034,0,1,0,1,0,0,1,0,0
500103035,1,0,0,1,0,0,1,0,0
500103036,1,0,0,1,0,0,1,0,0
500103037,0,1,0,1,0,0,1,0,0
500103038,1,0,0,1,0,0,1,0,0
500103039,0,1,0,1,0,0,1,0,0
500103040,0,1,0,1,0,0,1,0,0
500103041,1,0,0,1,0,0,1,0,0
500103042,1,0,0,1,0,0,1,0,0
500103043,1,0,0,1,0,0,1,0,0
500103044,0,1,0,1,0,0,0,1,0
500103045,1,0,0,1,0,0,1,0,0
500103046,1,0,0,1,0,0,1,0,0
500103047,0,1,0,1,0,0,0,1,0
500103048,1,0,0,1,0,0,1,0,0
500103049,1,0,0,1,0,0,1,0,0
500103050,0,1,0,1,0,0,1,0,0
500103051,1,0,0,1,0,0,1,0,0
500103052,0,1,0,1,0,0,1,0,0
500103053,1,0,0,1,0,0,1,0,0
500103054,1,0,0,1,0,0,1,0,0
500103055,1,0,0,1,0,0,1,0,0
500103056,1,0,0,1,0,0,1,0,0
500103057,0,1,0,1,0,0,1,0,0
500103058,0,1,0,0,1,0,1,0,0
500103059,0,1,0,0,1,0,1,0,0
500103060,1,0,0,1,0,0,1,0,0
500103061,1,0,0,1,0,0,1,0,0
500103062,1,0,0,1,0,0,1,0,0
500103063,1,0,0,1,0,0,1,0,0
500103064,1,0,0,1,0,0,1,0,0
500103065,1,0,0,1,0,0,1,0,0
500103066,1,0,0,1,0,0,1,0,0
500103068,1,0,0,1,0,0,1,0,0
500103069,1,0,0,1,0,0,1,0,0
500103070,1,0,0,1,0,0,1,0,0
500103071,1,0,0,1,0,0,1,0,0
500103072,1,0,0,1,0,0,1,0,0
500103073,1,0,0,1,0,0,1,0,0
500103074,0,1,0,1,0,0,0,1,0
500103075,1,0,0,1,0,0,1,0,0
500103076,1,0,0,1,0,0,1,0,0
500103078,0,1,0,1,0,0,1,0,0
500104001,1,0,0,1,0,0,1,0,0
500104002,1,0,0,1,0,0,1,0,0
500104003,0,1,0,1,0,0,1,0,0
500104004,0,1,0,0,1,0,1,0,0
500104005,1,0,0,1,0,0,1,0,0
500104006,1,0,0,1,0,0,1,0,0
500104007,1,0,0,1,0,0,1,0,0
500104008,0,1,0,1,0,0,0,1,0
500104009,0,1,0,1,0,0,1,0,0
500104010,0,1,0,1,0,0,0,1,0
500104012,1,0,0,1,0,0,1,0,0
500104013,1,0,0,1,0,0,1,0,0
500104014,0,1,0,0,1,0,1,0,0
500104015,1,0,0,1,0,0,1,0,0
500104016,1,0,0,1,0,0,1,0,0
500104018,1,0,0,1,0,0,1,0,0
500104019,1,0,0,1,0,0,1,0,0
500104020,1,0,0,1,0,0,1,0,0
500104021,0,1,0,1,0,0,1,0,0
500104022,1,0,0,1,0,0,1,0,0
500104023,0,1,0,1,0,0,1,0,0
500104024,1,0,0,1,0,0,1,0,0
500104025,1,0,0,1,0,0,1,0,0
500104026,1,0,0,1,0,0,1,0,0
500104027,1,0,0,1,0,0,1,0,0
500104028,1,0,0,1,0,0,1,0,0
500104029,1,0,0,1,0,0,1,0,0
500104030,0,1,0,1,0,0,0,1,0
500104031,0,0,1,1,0,0,0,1,0
500104032,1,0,0,1,0,0,1,0,0
500104033,1,0,0,1,0,0,1,0,0
500104034,1,0,0,1,0,0,1,0,0
500104035,0,1,0,1,0,0,1,0,0
500104036,0,1,0,1,0,0,0,1,0
500104037,1,0,0,1,0,0,1,0,0
500104038,0,1,0,0,1,0,1,0,0
500104039,0,1,0,1,0,0,1,0,0
500104040,1,0,0,1,0,0,1,0,0
500104041,0,1,0,1,0,0,1,0,0
500104042,1,0,0,1,0,0,1,0,0
500104043,1,0,0,1,0,0,1,0,0
500104044,0,1,0,1,0,0,0,1,0
500104045,1,0,0,1,0,0,1,0,0
500104046,0,1,0,1,0,0,0,1,0
500104047,1,0,0,1,0,0,1,0,0
500104048,1,0,0,1,0,0,1,0,0
500104049,1,0,0,1,0,0,1,0,0
500104050,1,0,0,1,0,0,1,0,0
500104051,0,1,0,1,0,0,1,0,0
500104052,1,0,0,1,0,0,1,0,0
500104053,1,0,0,1,0,0,1,0,0
500104054,0,1,0,1,0,0,1,0,0
500104055,0,1,0,1,0,0,0,1,0
500104056,1,0,0,1,0,0,1,0,0
500104057,1,0,0,1,0,0,1,0,0
500104058,1,0,0,1,0,0,1,0,0
500104059,1,0,0,1,0,0,1,0,0
500104060,0,1,0,1,0,0,1,0,0
500104061,1,0,0,1,0,0,1,0,0
500104062,1,0,0,1,0,0,1,0,0
500104063,1,0,0,1,0,0,1,0,0
500104064,1,0,0,1,0,0,1,0,0
500104065,1,0,0,1,0,0,1,0,0
500104066,1,0,0,1,0,0,1,0,0
500104067,1,0,0,1,0,0,1,0,0
500104068,1,0,0,1,0,0,1,0,0
500104069,1,0,0,1,0,0,1,0,0
500104070,1,0,0,1,0,0,1,0,0
500104071,1,0,0,1,0,0,1,0,0
500104072,0,1,0,0,1,0,1,0,0
500104073,1,0,0,1,0,0,1,0,0
500104074,0,1,0,1,0,0,1,0,0
500104075,0,1,0,1,0,0,0,1,0
500104076,0,1,0,1,0,0,1,0,0
500104077,0,1,0,1,0,0,0,1,0
500104078,1,0,0,1,0,0,1,0,0
500104079,1,0,0,1,0,0,1,0,0
500104080,1,0,0,1,0,0,1,0,0
500104081,1,0,0,1,0,0,1,0,0
500104082,1,0,0,1,0,0,1,0,0
500104083,1,0,0,1,0,0,1,0,0
500104084,1,0,0,1,0,0,1,0,0
500104085,1,0,0,1,0,0,1,0,0
500104086,1,0,0,1,0,0,1,0,0
500104087,0,1,0,1,0,0,0,1,0
500104088,1,0,0,1,0,0,1,0,0
500104089,0,1,0,1,0,0,1,0,0
500104090,0,1,0,1,0,0,1,0,0
500104091,0,0,1,1,0,0,0,0,1
500104092,1,0,0,1,0,0,1,0,0
500104094,1,0,0,1,0,0,1,0,0
500104095,1,0,0,1,0,0,1,0,0
500104096,1,0,0,1,0,0,1,0,0
500104097,1,0,0,1,0,0,1,0,0
500104098,1,0,0,1,0,0,1,0,0
500104099,1,0,0,1,0,0,1,0,0
500104100,1,0,0,1,0,0,1,0,0
500104101,1,0,0,1,0,0,1,0,0
500104102,1,0,0,1,0,0,1,0,0
500104103,1,0,0,1,0,0,1,0,0
500104104,1,0,0,1,0,0,1,0,0
500104105,1,0,0,1,0,0,1,0,0
500104106,1,0,0,1,0,0,1,0,0
500104107,0,1,0,1,0,0,1,0,0
500104108,0,0,1,1,0,0,0,0,1
500104109,1,0,0,1,0,0,1,0,0
500104110,1,0,0,1,0,0,1,0,0
500104111,1,0,0,1,0,0,1,0,0
500104112,0,1,0,1,0,0,1,0,0
500104113,1,0,0,1,0,0,1,0,0
500104114,1,0,0,1,0,0,1,0,0
500104115,1,0,0,1,0,0,1,0,0
500104116,1,0,0,1,0,0,1,0,0
500104117,1,0,0,1,0,0,1,0,0
500104118,1,0,0,1,0,0,1,0,0
500104119,1,0,0,1,0,0,1,0,0
500104120,1,0,0,1,0,0,1,0,0
500104121,1,0,0,1,0,0,1,0,0
500104122,1,0,0,1,0,0,1,0,0
500104123,0,1,0,1,0,0,1,0,0
500104124,1,0,0,1,0,0,1,0,0
500104125,1,0,0,1,0,0,1,0,0
500104126,1,0,0,1,0,0,1,0,0
500104128,1,0,0,1,0,0,1,0,0
500104129,1,0,0,1,0,0,1,0,0
500104130,1,0,0,1,0,0,1,0,0
500104131,1,0,0,1,0,0,1,0,0
500104132,1,0,0,1,0,0,1,0,0
500104133,1,0,0,1,0,0,1,0,0
500104134,1,0,0,1,0,0,1,0,0
500104135,1,0,0,1,0,0,1,0,0
500104136,1,0,0,1,0,0,1,0,0
500104137,1,0,0,1,0,0,1,0,0
500105001,0,1,0,1,0,0,1,0,0
500105002,1,0,0,1,0,0,1,0,0
500105003,0,1,0,1,0,0,1,0,0
500105004,0,1,0,1,0,0,1,0,0
500105005,1,0,0,1,0,0,1,0,0
500105006,1,0,0,1,0,0,1,0,0
500105007,0,0,1,1,0,0,0,0,1
500105008,0,1,0,1,0,0,0,1,0
500105009,1,0,0,1,0,0,1,0,0
500105010,0,1,0,1,0,0,1,0,0
500105011,1,0,0,1,0,0,1,0,0
500105012,0,1,0,1,0,0,1,0,0
500105013,1,0,0,1,0,0,1,0,0
500105014,1,0,0,1,0,0,1,0,0
500105015,1,0,0,1,0,0,1,0,0
500105016,1,0,0,1,0,0,1,0,0
500105017,1,0,0,1,0,0,1,0,0
500105018,0,0,1,0,1,0,1,0,0
500105019,0,1,0,1,0,0,0,1,0
500105020,0,1,0,1,0,0,1,0,0
500105021,0,1,0,1,0,0,0,1,0
500105022,0,1,0,1,0,0,1,0,0
500105023,0,1,0,1,0,0,0,1,0
500105024,1,0,0,1,0,0,1,0,0
500105025,0,1,0,1,0,0,1,0,0
500105026,0,1,0,1,0,0,1,0,0
500105027,0,1,0,0,1,0,1,0,0
500105028,0,1,0,1,0,0,1,0,0
500105029,1,0,0,1,0,0,1,0,0
500105030,1,0,0,1,0,0,1,0,0
500105031,1,0,0,1,0,0,1,0,0
500105032,0,1,0,1,0,0,1,0,0
500105033,0,1,0,1,0,0,0,1,0
500105034,1,0,0,1,0,0,1,0,0
500105035,1,0,0,1,0,0,1,0,0
500105036,0,1,0,1,0,0,1,0,0
500105037,1,0,0,1,0,0,1,0,0
500105038,1,0,0,1,0,0,1,0,0
500105039,1,0,0,1,0,0,1,0,0
500105040,1,0,0,1,0,0,1,0,0
500105041,1,0,0,1,0,0,1,0,0
500105042,1,0,0,1,0,0,1,0,0
500105043,1,0,0,1,0,0,1,0,0
500105044,1,0,0,1,0,0,1,0,0
500105045,1,0,0,1,0,0,1,0,0
500105046,1,0,0,1,0,0,1,0,0
500105047,1,0,0,1,0,0,1,0,0
500105048,1,0,0,1,0,0,1,0,0
500105049,1,0,0,1,0,0,1,0,0
500105050,1,0,0,1,0,0,1,0,0
500105051,1,0,0,1,0,0,1,0,0
500105053,1,0,0,1,0,0,1,0,0
500105054,1,0,0,1,0,0,1,0,0
500105055,0,1,0,1,0,0,1,0,0
500105056,1,0,0,1,0,0,1,0,0
500105057,1,0,0,1,0,0,1,0,0
500105058,1,0,0,1,0,0,1,0,0
500105059,1,0,0,1,0,0,1,0,0
500105060,1,0,0,1,0,0,1,0,0
500105061,0,1,0,1,0,0,1,0,0
500105062,0,1,0,1,0,0,0,1,0
500105063,1,0,0,1,0,0,1,0,0
500105064,1,0,0,1,0,0,1,0,0
500105066,1,0,0,1,0,0,1,0,0
500105067,1,0,0,1,0,0,1,0,0
500105068,1,0,0,1,0,0,1,0,0
500105069,0,1,0,1,0,0,1,0,0
500105070,0,1,0,0,1,0,1,0,0
500105071,1,0,0,1,0,0,1,0,0
500105072,1,0,0,1,0,0,1,0,0
500105073,1,0,0,1,0,0,1,0,0
500105074,1,0,0,1,0,0,1,0,0
500105075,1,0,0,1,0,0,1,0,0
500105076,1,0,0,1,0,0,1,0,0
500105077,1,0,0,1,0,0,1,0,0
500105079,1,0,0,1,0,0,1,0,0
500105080,1,0,0,1,0,0,1,0,0
500105081,1,0,0,1,0,0,1,0,0
500105082,1,0,0,1,0,0,1,0,0
500105083,1,0,0,1,0,0,1,0,0
500105084,1,0,0,1,0,0,1,0,0
500105085,1,0,0,1,0,0,1,0,0
500105086,1,0,0,1,0,0,1,0,0
500105087,1,0,0,1,0,0,1,0,0
500105088,1,0,0,1,0,0,1,0,0
500105089,1,0,0,1,0,0,1,0,0
500105090,1,0,0,1,0,0,1,0,0
500105091,1,0,0,1,0,0,1,0,0
500105092,1,0,0,1,0,0,1,0,0
500105093,1,0,0,1,0,0,1,0,0
500105094,1,0,0,1,0,0,1,0,0
500105095,1,0,0,1,0,0,1,0,0
500105096,1,0,0,1,0,0,1,0,0
500105097,1,0,0,1,0,0,1,0,0
500105098,1,0,0,1,0,0,1,0,0
500105100,1,0,0,1,0,0,1,0,0
500105101,1,0,0,1,0,0,1,0,0
500105102,1,0,0,1,0,0,1,0,0
500105103,0,1,0,1,0,0,1,0,0
500105104,1,0,0,1,0,0,1,0,0
500105106,1,0,0,1,0,0,1,0,0
500105107,0,1,0,1,0,0,1,0,0
500105108,1,0,0,1,0,0,1,0,0
500105109,1,0,0,1,0,0,1,0,0
500105110,1,0,0,1,0,0,1,0,0
500105111,1,0,0,1,0,0,1,0,0
500105112,1,0,0,1,0,0,1,0,0
500105113,1,0,0,1,0,0,1,0,0
500105114,1,0,0,1,0,0,1,0,0
500106001,1,0,0,1,0,0,1,0,0
500106002,1,0,0,1,0,0,1,0,0
500106003,1,0,0,1,0,0,1,0,0
500106004,1,0,0,1,0,0,1,0,0
500106005,1,0,0,1,0,0,1,0,0
500106006,0,1,0,1,0,0,0,1,0
500106007,0,1,0,1,0,0,1,0,0
500106008,0,1,0,1,0,0,1,0,0
500106009,0,1,0,0,1,0,1,0,0
500106010,0,1,0,0,1,0,1,0,0
500106011,1,0,0,1,0,0,1,0,0
500106012,1,0,0,1,0,0,1,0,0
500106013,1,0,0,1,0,0,1,0,0
500106014,0,1,0,0,1,0,1,0,0
500106015,1,0,0,1,0,0,1,0,0
500106016,1,0,0,1,0,0,1,0,0
500106017,0,1,0,1,0,0,0,1,0
500106018,0,0,1,1,0,0,0,1,0
500106019,1,0,0,1,0,0,1,0,0
500106020,1,0,0,1,0,0,1,0,0
500106021,0,1,0,1,0,0,1,0,0
500106022,0,1,0,1,0,0,0,1,0
500106023,1,0,0,1,0,0,1,0,0
500106025,0,1,0,1,0,0,1,0,0
500106026,1,0,0,1,0,0,1,0,0
500106027,1,0,0,1,0,0,1,0,0
500106028,1,0,0,1,0,0,1,0,0
500106029,0,1,0,1,0,0,1,0,0
500106030,1,0,0,1,0,0,1,0,0
500106031,1,0,0,1,0,0,1,0,0
500106037,0,1,0,1,0,0,1,0,0
500106038,0,1,0,1,0,0,0,1,0
500106039,1,0,0,1,0,0,1,0,0
500106040,0,1,0,1,0,0,0,1,0
500106041,1,0,0,1,0,0,1,0,0
500106042,0,1,0,1,0,0,0,1,0
500106043,0,1,0,1,0,0,0,1,0
500106044,0,1,0,1,0,0,0,1,0
500106046,1,0,0,1,0,0,1,0,0
500106047,0,1,0,1,0,0,0,1,0
500106048,0,1,0,1,0,0,0,1,0
500106049,1,0,0,1,0,0,1,0,0
500106050,0,1,0,1,0,0,0,1,0
500106051,0,1,0,1,0,0,0,1,0
500106052,0,1,0,1,0,0,0,1,0
500106053,0,1,0,1,0,0,0,1,0
500106054,1,0,0,1,0,0,1,0,0
500106055,0,0,1,1,0,0,0,0,1
500106056,0,1,0,1,0,0,0,1,0
500106057,0,0,1,1,0,0,0,0,1
500106058,0,1,0,1,0,0,1,0,0
500106059,0,1,0,1,0,0,0,1,0
500106060,1,0,0,1,0,0,1,0,0
500106061,1,0,0,1,0,0,1,0,0
500106062,0,0,1,1,0,0,0,1,0
500106063,1,0,0,1,0,0,1,0,0
500106064,1,0,0,1,0,0,1,0,0
500106065,0,1,0,1,0,0,0,1,0
500106066,0,1,0,1,0,0,1,0,0
500106067,0,0,1,1,0,0,0,1,0
500106068,0,1,0,1,0,0,1,0,0
500106069,0,1,0,1,0,0,1,0,0
500106070,0,1,0,1,0,0,0,1,0
500106071,0,1,0,1,0,0,0,1,0
500106072,1,0,0,1,0,0,1,0,0
500106073,1,0,0,1,0,0,1,0,0
500106074,1,0,0,1,0,0,1,0,0
500106075,1,0,0,1,0,0,1,0,0
500106077,0,1,0,1,0,0,1,0,0
500106078,0,1,0,1,0,0,1,0,0
500106079,1,0,0,1,0,0,1,0,0
500106080,1,0,0,1,0,0,1,0,0
500106083,0,1,0,1,0,0,1,0,0
500106084,0,1,0,1,0,0,1,0,0
500106085,0,1,0,1,0,0,1,0,0
500106086,1,0,0,1,0,0,1,0,0
500106087,1,0,0,1,0,0,1,0,0
500106088,1,0,0,1,0,0,1,0,0
500106089,1,0,0,1,0,0,1,0,0
500106090,0,1,0,1,0,0,0,1,0
500106091,0,1,0,1,0,0,1,0,0
500106092,0,1,0,1,0,0,1,0,0
500106093,1,0,0,1,0,0,1,0,0
500106094,1,0,0,1,0,0,1,0,0
500106095,1,0,0,1,0,0,1,0,0
500106096,1,0,0,1,0,0,1,0,0
500106097,1,0,0,1,0,0,1,0,0
500106098,1,0,0,1,0,0,1,0,0
500106099,1,0,0,1,0,0,1,0,0
500106100,0,1,0,1,0,0,0,1,0
500106101,1,0,0,1,0,0,1,0,0
500106102,1,0,0,1,0,0,1,0,0
500106103,1,0,0,1,0,0,1,0,0
500106104,1,0,0,1,0,0,1,0,0
500106105,1,0,0,1,0,0,1,0,0
500106106,1,0,0,1,0,0,1,0,0
500106107,1,0,0,1,0,0,1,0,0
500106108,1,0,0,1,0,0,1,0,0
500106109,1,0,0,1,0,0,1,0,0
500106110,0,1,0,1,0,0,1,0,0
500106111,1,0,0,1,0,0,1,0,0
500106112,0,1,0,1,0,0,1,0,0
500106113,1,0,0,1,0,0,1,0,0
500106114,1,0,0,1,0,0,1,0,0
500106115,1,0,0,1,0,0,1,0,0
500106116,1,0,0,1,0,0,1,0,0
500106117,1,0,0,1,0,0,1,0,0
500106118,1,0,0,1,0,0,1,0,0
500106119,1,0,0,1,0,0,1,0,0
500106120,1,0,0,1,0,0,1,0,0
500106121,0,1,0,1,0,0,0,1,0
500106122,1,0,0,1,0,0,1,0,0
500106123,1,0,0,1,0,0,1,0,0
500106124,1,0,0,1,0,0,1,0,0
500106125,1,0,0,1,0,0,1,0,0
500106126,0,1,0,1,0,0,1,0,0
500106127,1,0,0,1,0,0,1,0,0
500106128,1,0,0,1,0,0,1,0,0
500106129,0,1,0,1,0,0,1,0,0
